queue,who,vote_id,date,bill,theme,title,crs_lead,valence,plain_language_summary,coded_blind,notes
119th,incumbents,h-119-1-35,2025-02-07,hr-26-119,INPUT_COSTS,Protecting American Energy Production Act,"Protecting American Energy Production Act This bill prohibits the President from declaring a moratorium on the use of hydraulic fracturing unless Congress authorizes the moratorium. The bill also expresses the sense of Congress that states should maintain primacy (authority) for the regulation of hydraulic fracturing for oil and natural gas production on state and private lands. Hydraulic fracturing, or fracking, is",+1,,true,
119th,incumbents,h-119-1-53,2025-02-27,hjres-20-119,INPUT_COSTS,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Energy relating to ""Energy Conservation Program: Energy Conservation Standards for Consumer Gas-fired Instantaneous Water Heaters"".","This joint resolution nullifies the rule titled Energy Conservation Program: Energy Conservation Standards for Consumer Gas-fired Instantaneous Water Heaters and submitted by the Department of Energy (DOE) on December 26, 2024. Under the rule, DOE adopted amended energy conservation standards for gas-fired instantaneous water heaters to achieve the maximum improvement in energy efficiency that DOE determined was tech",+1,,true,
119th,incumbents,h-119-1-59,2025-03-05,hjres-42-119,INPUT_COSTS,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Energy relating to ""Energy Conservation Program for Appliance Standards: Certification Requirements, Labeling Requirements, and Enforcement Provisions for Certain Consumer Products and Commercial Equipment"".","This joint resolution eliminates new, more stringent certification, labeling, and enforcement requirements related to energy conservation standards for specific types of appliances. Specifically, the joint resolution nullifies a rule titled the Energy Conservation Program for Appliance Standards: Certification Requirements, Labeling Requirements, and Enforcement Provisions for Certain Consumer Products and Commercial",+1,,true,
119th,incumbents,h-119-1-68,2025-03-11,hr-1156-119,WORKFORCE,Pandemic Unemployment Fraud Enforcement Act,"Pandemic Unemployment Fraud Enforcement Act This bill extends from 5 to 10 years the statute of limitations for federal criminal charges or civil enforcement actions for fraud related to several unemployment insurance programs that were established during the COVID-19 pandemic. The extension applies to Pandemic Unemployment Assistance, Federal Pandemic Unemployment Compensation, Mixed Earners Unemployment Compensatio",+1,,true,
119th,incumbents,h-119-1-77,2025-03-27,hjres-24-119,INPUT_COSTS,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Energy relating to ""Energy Conservation Program: Energy Conservation Standards for Walk-In Coolers and Walk-In Freezers"".","This joint resolution eliminates new, more stringent energy conservation standards for certain walk-in coolers and freezers, including the new limits on maximum daily energy consumption for walk-in non-display doors. Under the joint resolution, walk-in non-display doors and walk-in refrigeration systems are no longer required to comply with the new standards. Specifically, the joint resolution nullifies the rule titl",+1,,true,
119th,incumbents,h-119-1-78,2025-03-27,hjres-75-119,INPUT_COSTS,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Office of Energy Efficiency and Renewable Energy, Department of Energy relating to ""Energy Conservation Program: Energy Conservation Standards for Commercial Refrigerators, Freezers, and Refrigerator-Freezers"".","This joint resolution eliminates new, more stringent energy conservation standards for commercial refrigerators, freezers, and refrigerator-freezers. Under the joint resolution, such equipment is no longer required to comply with the new standards. Specifically, the joint resolution nullifies the rule titled Energy Conservation Program: Energy Conservation Standards for Commercial Refrigerators, Freezers, and Refrige",+1,,true,
119th,incumbents,h-119-1-96,2025-04-09,sjres-18-119,ACCESS_TO_CAPITAL,"A joint resolution disapproving the rule submitted by the Bureau of Consumer Financial Protection relating to ""Overdraft Lending: Very Large Financial Institutions"".","This joint resolution nullifies the final rule issued by the Consumer Financial Protection Bureau titled Overdraft Lending: Very Large Financial Institutions and published on December 30, 2024. The rule revises provisions regarding charges for insufficient funds in a customer’s bank account (i.e., overdrafts) at very large financial institutions. Under the rule, these institutions must (1) cap overdraft charges at $5",+1,,true,
119th,incumbents,h-119-1-151,2025-06-04,hr-2483-119,HEALTH_COSTS,SUPPORT for Patients and Communities Reauthorization Act of 2025,"SUPPORT for Patients and Communities Reauthorization Act of 2025 This act reauthorizes and revises programs and activities relating to addressing substance use disorders, overdoses, and mental health. (For additional information on each section of this act, see CRS Report R48864 .) TITLE I--PREVENTION (Sec. 101) This section reauthorizes through FY2030 Centers for Disease Control and Prevention (CDC) programs that pr",+1,,true,
119th,incumbents,h-119-1-153,2025-06-05,hr-2931-119,ACCESS_TO_CAPITAL,Save SBA from Sanctuary Cities Act of 2025,"Save SBA from Sanctuary Cities Act This bill requires the relocation of a regional, district, or local office of the Small Business Administration (SBA) if the SBA makes a public determination that the office is located in a sanctuary jurisdiction. The SBA must relocate that office, within 60 days of such determination, to a location that is not a sanctuary jurisdiction. Under the bill, a sanctuary jurisdiction is a",+1,,true,
119th,incumbents,h-119-1-171,2025-06-12,hr-2056-119,WORKFORCE,District of Columbia Federal Immigration Compliance Act of 2025,"District of Columbia Federal Immigration Compliance Act This bill prohibits the District of Columbia (DC) from limiting its cooperation with federal immigration enforcement activities, except for certain instances involving witnesses and victims of crime. Specifically, the bill bars DC from adopting a law, policy, or practice prohibiting DC governmental entities from sending, receiving, maintaining, or exchanging inf",+1,,true,
119th,incumbents,h-119-1-277,2025-09-18,hr-3062-119,INPUT_COSTS,Promoting Cross-border Energy Infrastructure Act,"Promoting Cross-b order Energy Infrastructure Act This bill establishes a new process for approving or revoking permits for the construction and operation of energy infrastructure across an international border of the United States. Thus, it replaces the existing process established under specified executive orders. The bill requires a person to obtain a certificate of crossing before constructing, connecting, operat",+1,,true,
119th,incumbents,h-119-1-278,2025-09-18,hr-3015-119,INPUT_COSTS,National Coal Council Reestablishment Act,"National Coal Council Reestablishment Act This bill provides statutory authority for the National Coal Council and directs the Department of Energy to reestablish the council in accordance with the charter that was in effect on November 19, 2021. Established in 1984, the council made recommendations to DOE on matters relating to coal and the coal industry. In addition, the bill removes the requirement under the Feder",+1,,true,
119th,incumbents,h-119-1-279,2025-09-18,hr-1047-119,INPUT_COSTS,GRID Power Act,"Guaranteeing Reliability through the Interconnection of Dispatchable Power Act or the GRID Power Act This bill requires the Federal Energy Regulatory Commission (FERC) to issue and periodically review a rule that revises the approval process for interconnection requests of generating units that produce electricity to prioritize dispatchable power projects (e.g., certain fossil fuel projects). Under the bill, dispatch",+1,,true,
119th,incumbents,h-119-1-295,2025-11-18,hjres-131-119,INPUT_COSTS,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to Coastal Plain Oil and Gas Leasing Program Record of Decision.","This joint resolution opens public land for oil and gas leasing in the Arctic National Wildlife Refuge. Specifically, the joint resolution nullifies the record of decision (ROD) issued by the Bureau of Land Management on December 9, 2024, for the program that leases, develops, produces, and transports oil and gas in and from the Coastal Plain program area within the Arctic National Wildlife Refuge. The 2024 ROD that",+1,,true,
119th,incumbents,h-119-1-296,2025-11-18,sjres-80-119,INPUT_COSTS,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to ""National Petroleum Reserve in Alaska Integrated Activity Plan Record of Decision"".","This joint resolution reopens portions of the National Petroleum Reserve for oil and gas leasing. (The reserve is an approximately 23-million-acre area on Alaska’s North Slope.) Specifically, the joint resolution nullifies a plan submitted by the Bureau of Land Management in a rule titled National Petroleum Reserve in Alaska Integrated Activity Plan Record of Decision and issued on April 25, 2022. The 2022 plan repla",+1,,true,
119th,incumbents,h-119-1-303,2025-11-20,hr-3109-119,INPUT_COSTS,REFINER Act,"Researching Efficient Federal Improvements for Necessary Energy Refining Act or the REFINER Act This bill requires the Department of Energy to direct the National Petroleum Council to publish a report on petrochemical refineries located in the United States. The report must include information concerning (1) the contributions of such refineries to U.S. energy security, (2) analyses and projections with respect to opp",+1,,true,
119th,incumbents,h-119-1-304,2025-11-20,hr-1949-119,INPUT_COSTS,Unlocking our Domestic LNG Potential Act of 2025,"Unlocking our Domestic LNG Potential Act of 2025 This bill repeals certain restrictions on the import and export of natural gas under the Natural Gas Act, including requirements for Department of Energy (DOE) approval and related provisions that address free trade agreements. In addition, the bill grants the Federal Energy Regulatory Commission (FERC) the exclusive authority to approve or deny applications to authori",+1,,true,
119th,incumbents,h-119-1-323,2025-12-11,hr-3628-119,INPUT_COSTS,State Planning for Reliability and Affordability Act,"State Planning for Reliability and Affordability Act This bill requires certain state authorities that regulate electric utilities to consider the establishment of measures regarding the reliable availability of electricity over specified time periods. These requirements would apply to electric utilities that use integrated resource plans—plans that project future electricity use to ensure resource adequacy, as oppos",+1,,true,
119th,incumbents,h-119-1-332,2025-12-11,hr-2550-119,WORKFORCE,Protect America's Workforce Act,"Protect America's Workforce Act This bill nullifies the Executive Order titled Exclusions from Federal Labor-Management Relations Programs (issued on March 27, 2025), which excludes specified executive agencies and subdivisions from the Federal Service Labor-Management Relations Statute. The statute authorizes federal employees' participation in collective bargaining and enforces collective bargaining rights. The bil",+1,,true,
